name,summary,causes,symptoms,home_care,alternative_names
Leprosy,"Leprosy is a disease caused by the bacterium Mycobacterium leprae. This disease causes skin sores, nerve damage, and muscle weakness that gets worse over time.","Although leprosy is due to an infection, it does not spread easily. It also takes a long time before symptoms appear, which makes it hard to know where or when someone caught the disease. Children are more likely than adults to get the disease. Most people who come in contact with the bacteria don't develop the disease. This is because their immune system is able to fight off the bacteria. Experts believe that the bacteria spread when a person breathes in tiny airborne droplets released when someone with leprosy coughs or sneezes. The bacteria may also be passed through contact with the nasal fluids of a person with leprosy. Leprosy has two common forms: tuberculoid and lepromatous. Both forms produce sores on the skin. However, the lepromatous form is more severe. It causes large lumps and bumps ( nodules ). Leprosy is common in many countries worldwide including India, Brazil and Indonesia. It is also found in temperate, tropical, and subtropical climates. About 170 to 200 cases per year are diagnosed in the United States. Most new cases in the United States were in: Florida California Hawaii New York Oregon Texas Drug-resistant Mycobacterium leprae and an increased numbers of cases worldwide have led to global concern for this disease.","Symptoms include: Skin lesions that are lighter than your normal skin color Lesions that have decreased sensation to touch, heat, or pain Lesions that do not heal after several weeks to months Muscle weakness Numbness or lack of feeling in the hands, arms, feet, and legs",,Hansen disease
Leptospirosis,Leptospirosis is an infection caused by leptospira bacteria.,"Leptospira bacteria can be found in fresh water that has been soiled by animal urine. You may get infected if you consume or come in contact with contaminated water or soil. The infection occurs in warmer climates. Leptospirosis is not spread from person to person, except in very rare cases. Risk factors include: Occupational exposure -- farmers, ranchers, slaughterhouse workers, trappers, veterinarians, loggers, sewer workers, rice field workers, and military personnel Recreational activities -- fresh water swimming, canoeing, kayaking, and trail biking in warm areas Household exposure -- pet dogs, domesticated livestock, rainwater catchment systems, and infected rodents Weil disease, a severe form of leptospirosis, is rare in the continental United States. Hawaii has the highest number of cases in the United States.","Symptoms can take 2 to 30 days (average 10 days) to develop, and may include: Dry cough Fever Headache Muscle pain Nausea, vomiting, and diarrhea Shaking chills Less common symptoms include: Abdominal pain Abnormal lung sounds Bone pain Conjunctival (surface of the whites of the eyes) redness without fluid Enlarged lymph glands Enlarged spleen or liver Joint aches Muscle rigidity Muscle tenderness Skin rash Sore throat",,Weil disease; Icterohemorrhagic fever; Swineherd's disease; Rice-field fever; Cane-cutter fever; Swamp fever; Mud fever; Hemorrhagic jaundice; Stuttgart disease; Canicola fever
Lesch-Nyhan syndrome,Lesch-Nyhan syndrome is a disorder that is passed down through families (inherited). It affects how the body builds and breaks down chemicals called purines. Purines are a normal part of human tissue that help make up the body's genetic blueprint. They are also found in many different foods.,"Lesch-Nyhan syndrome is passed down as an X-linked, or sex-linked trait . It occurs mostly in boys. People with this syndrome are missing or severely lacking an enzyme called hypoxanthine guanine phosphoribosyltransferase (HPRT). The body needs this substance to recycle purines. Without it, abnormally high levels of uric acid build up in the body.","Too much uric acid can cause gout-like swelling in some of the joints. In some cases, kidney and bladder stones develop. People with Lesch-Nyhan have delayed motor development followed by abnormal movements and increased reflexes. A striking feature of Lesch-Nyhan syndrome is self-destructive behavior, including chewing off fingertips and lips. It is unknown how the disease causes these problems.",,
Leucine aminopeptidase - urine,Leucine aminopeptidase is a type of protein called an enzyme. It is normally found in liver cells and cells of the small intestine. This test is used to measure how much of this protein appears in your urine.,,,,
Leucine aminopeptidase blood test,The leucine aminopeptidase (LAP) test measures how much of this enzyme is in your blood.,,,,Serum leucine aminopeptidase; LAP - serum
Leukemia,"Leukemia is a type of blood cancer that begins in the bone marrow. Bone marrow is the soft tissue in the center of the bones, where blood cells are produced.",,,,
Leukemia - resources,The following organizations provide information on the different types of leukemia:,,,,
Leukemoid reaction,"A leukemoid reaction is an increase in the white blood cell count, which can mimic leukemia. The reaction is actually due to an infection or another disease and is not a sign of cancer.",,,,
Leukocyte esterase urine test,Leukocyte esterase is a urine test to look for white blood cells and other signs of infection.,,,,WBC esterase
Leukoplakia,"Leukoplakia are white patches on the tongue, in the mouth, or on the inside of the cheek.","Leukoplakia affects the mucous membranes of the mouth. The exact cause is not known. It may be due to irritation such as: Rough teeth Rough places on dentures, fillings, and crowns Smoking or other tobacco use (smoker's keratosis), especially pipes Holding chewing tobacco or snuff in the mouth for a long period of time Drinking a lot of alcohol The disorder is more common in older adults. A type of leukoplakia of the mouth, called oral hairy leukoplakia, is caused by the Epstein-Barr virus. It is seen mostly in people with HIV/AIDS . It may be one of the first signs of HIV infection. Oral hairy leukoplakia can also appear in other people whose immune system is not working well, such as after a bone marrow transplant .","Patches in the mouth usually develop on the tongue (sides of the tongue with oral hairy leukoplakia) and on the insides of the cheeks. Leukoplakia patches are: Most often white or gray Uneven in shape Fuzzy (oral hairy leukoplakia) Slightly raised, with a hard surface Unable to be scraped off Painful when the mouth patches come into contact with acidic or spicy food",,Hairy leukoplakia; Smoker's keratosis
Leydig cell testicular tumor,"A Leydig cell tumor is a tumor of the testicle. It develops from Leydig cells. These are the cells in the testicles that release the male hormone, testosterone.","The cause of this tumor is unknown. There are no known risk factors for this tumor. Unlike germ cell tumors of the testicles, this tumor does not seem to be linked to undescended testes . Leydig cell tumors make up a very small number of all testicular tumors. They are most often found in men between 30 and 60 years of age. This tumor is not common in children before puberty, but it may cause early puberty .","There may be no symptoms. When symptoms do occur, they can include: Discomfort or pain in the testicle Enlargement of a testicle or change in the way it feels Excess growth of breast tissue ( gynecomastia ) -- however, this can occur normally in adolescent boys who do not have testicular cancer Heaviness in the scrotum Lump or swelling in either testicle Pain in the lower abdomen or back Not able to father children (infertility) Symptoms in other parts of the body, such as the lungs, abdomen, pelvis, back, or brain may also occur if the cancer has spread.",,Tumor - Leydig cell; Testicular tumor - Leydig
